condition,task,category,repeat,success,verdict,score,input_tokens,output_tokens,cache_read,cache_write,total_cost_usd,duration_ms,tool_calls
axi,sprint_overview,single_step,1,1,pass,9,19,305,34556,13681,0.066303,23804,1
axi,list_projects,single_step,1,1,pass,10,19,313,34526,12474,0.061887,21471,1
axi,issue_detail,single_step,1,1,pass,10,19,316,34546,12495,0.062017,21269,1
axi,current_user,single_step,1,1,pass,10,19,194,34527,12331,0.059566,20187,1
axi,search_in_progress,single_step,1,1,pass,10,19,550,34542,13533,0.069418,24088,1
axi,search_query,single_step,1,1,pass,10,19,369,34539,13022,0.064786,25117,1
axi,project_detail,single_step,1,1,pass,10,19,195,34541,12374,0.059747,21205,1
axi,user_search,single_step,1,1,pass,10,19,398,34533,12541,0.063416,22280,1
axi,issues_by_priority,single_step,1,1,pass,9,43,1745,111856,16386,0.121308,55300,4
axi,sprint_unresolved_count,single_step,1,1,pass,10,19,613,34538,13657,0.070827,28767,1
axi,multi_search_and_detail,multi_step,1,1,pass,9,27,438,59297,13764,0.076055,27899,2
axi,sprint_assignee_filter,multi_step,1,1,pass,9,25,306,58008,13694,0.073420,26555,2
axi,project_issue_count,multi_step,1,1,pass,9,27,971,59523,14551,0.087069,38441,2
axi,agile_board_sprint,multi_step,1,1,pass,9,45,3573,106560,17101,0.149827,79982,4
axi,error_bad_issue_id,error_recovery,1,1,pass,10,17,352,31284,8919,0.048162,22902,1
axi,error_bad_project,error_recovery,1,1,pass,10,33,681,71903,9455,0.067341,32118,3
mcp,sprint_overview,single_step,1,1,pass,8,109,3499,318297,28949,0.256860,110412,15
mcp,list_projects,single_step,1,1,pass,10,27,405,47208,7187,0.047270,15677,2
mcp,issue_detail,single_step,1,1,pass,9,27,612,47420,7720,0.052437,23796,3
mcp,current_user,single_step,1,1,pass,10,27,264,47084,6878,0.043959,15594,2
mcp,search_in_progress,single_step,1,1,pass,10,27,700,47894,9131,0.059190,20330,2
mcp,search_query,single_step,1,1,pass,10,35,973,67970,10433,0.074215,28760,3
mcp,project_detail,single_step,1,1,pass,10,27,264,47117,6996,0.044411,19395,2
mcp,user_search,single_step,1,1,pass,10,173,4885,452084,25859,0.306390,158070,33
mcp,issues_by_priority,single_step,1,1,pass,9,27,656,47913,8984,0.057985,20492,2
mcp,sprint_unresolved_count,single_step,1,1,pass,8,211,7553,1115680,96465,0.810376,222442,47
mcp,multi_search_and_detail,multi_step,1,1,pass,10,45,666,86537,8703,0.068722,26062,4
mcp,sprint_unresolved_count,single_step,1,0,fail,0,0,0,0,0,0.000000,0,0
mcp,sprint_assignee_filter,multi_step,1,0,fail,0,0,0,0,0,0.000000,0,0
mcp,sprint_assignee_filter,multi_step,1,1,pass,9,157,6648,545570,43678,0.427654,172882,18
mcp,multi_search_and_detail,multi_step,1,1,pass,10,45,657,86562,8686,0.068531,26442,4
mcp,project_issue_count,multi_step,1,1,pass,9,227,7167,1609674,101115,0.970269,236986,49
mcp,agile_board_sprint,multi_step,1,1,partial,3,103,2782,232991,12868,0.160191,93902,11
mcp,error_bad_issue_id,error_recovery,1,1,pass,9,27,466,47263,7044,0.047665,18831,2
mcp,error_bad_project,error_recovery,1,1,pass,10,43,790,86529,8302,0.069070,33215,4
mcp,project_issue_count,multi_step,1,1,pass,9,245,8236,2048264,94223,1.092090,282623,57
mcp,agile_board_sprint,multi_step,1,1,partial,4,129,2798,296497,12344,0.177596,93882,14
mcp,error_bad_issue_id,error_recovery,1,1,pass,10,27,462,47251,7038,0.047579,19744,2
mcp,error_bad_project,error_recovery,1,1,pass,8,35,665,67258,8282,0.061315,25463,3
axi,sprint_overview,single_step,1,1,pass,9,17,640,20025,21538,0.096426,33330,1
axi,list_projects,single_step,1,1,pass,10,17,315,31273,9056,0.048118,20238,1
axi,issue_detail,single_step,1,1,pass,10,17,288,31287,9060,0.047732,21093,1
axi,current_user,single_step,1,0,fail,0,0,0,0,0,0.000000,0,0
mcp,sprint_overview,single_step,1,0,fail,0,0,0,0,0,0.000000,0,0
